iter	MAE
0	291.1747725
1	289.4572347
2	287.892478
3	286.1921795
4	284.6343614
5	282.955953
6	281.2508945
7	279.6356579
8	278.1241556
9	276.4840354
10	274.8411709
11	273.4056498
12	271.8838337
13	270.4086462
14	268.8598317
15	267.4507757
16	265.9558458
17	264.4888285
18	262.9050505
19	261.3851609
20	259.8038069
21	258.4223414
22	256.9989718
23	255.6604119
24	254.2158975
25	252.800207
26	251.2463423
27	249.8285758
28	248.4892284
29	247.1834179
30	245.7296217
31	244.4189183
32	243.174705
33	241.7682542
34	240.494349
35	239.2736621
36	237.8979328
37	236.6397062
38	235.2574024
39	234.0092659
40	232.7323657
41	231.4843952
42	230.2324262
43	228.8803879
44	227.6162716
45	226.337598
46	225.0353227
47	223.82446
48	222.7830005
49	221.5874375
50	220.4867731
51	219.2576056
52	217.9874237
53	216.8763673
54	215.7247598
55	214.5735207
56	213.4089959
57	212.3667148
58	211.2104588
59	210.103079
60	209.0043389
61	207.922192
62	206.8923696
63	205.9512182
64	204.8516081
65	203.7565469
66	202.687417
67	201.6401497
68	200.5700184
69	199.5152542
70	198.5117868
71	197.4962094
72	196.5717344
73	195.6122471
74	194.6230028
75	193.6616031
76	192.6410239
77	191.6267723
78	190.6823167
79	189.7340121
80	188.7878667
81	187.7633375
82	186.7372017
83	185.8396279
84	184.9466861
85	184.0275795
86	183.0961387
87	182.1969042
88	181.2678114
89	180.3787099
90	179.4930792
91	178.6247909
92	177.9247016
93	177.0341061
94	176.1766607
95	175.6977413
96	174.8195498
97	173.9661542
98	173.1608862
99	172.312238
100	171.5515545
101	170.7205835
102	169.9731098
103	169.2150648
104	168.4067261
105	167.9579383
106	167.2113057
107	166.5082552
108	165.7661158
109	164.973107
110	164.2499577
111	163.8382252
112	163.0755704
113	162.2869503
114	161.566266
115	161.161721
116	160.4308949
117	160.0328725
118	159.3426602
119	158.6075958
120	157.9606901
121	157.2232248
122	156.5342722
123	155.8786175
124	155.2243896
125	154.5850513
126	153.9108532
127	153.2517004
128	152.6189309
129	151.9973207
130	151.3499344
131	150.7414265
132	150.1685985
133	149.5441634
134	148.9075191
135	148.3165432
136	147.9905061
137	147.3686033
138	146.7372548
139	146.1260231
140	145.5567454
141	145.2326996
142	144.6553067
143	144.0676871
144	143.4785977
145	142.8843782
146	142.3176076
147	141.7668237
148	141.2254788
149	140.6679919
150	140.393407
151	139.8869199
152	139.3475693
153	139.1089832
154	138.5777313
155	138.2841338
156	137.7323226
157	137.2133311
158	136.7014849
159	136.4331457
160	135.9546148
161	135.4759339
162	134.9950456
163	134.5238187
164	134.2436796
165	133.9888228
166	133.5057178
167	133.061254
168	132.8380132
169	132.3637919
170	131.9064151
171	131.4283075
172	131.0008405
173	130.5592062
174	130.0946223
175	129.6432724
176	129.3843834
177	128.9453435
178	128.5332552
179	128.0771715
180	127.6370078
181	127.2234578
182	126.8222949
183	126.3884899
184	126.0012703
185	125.606898
186	125.4015965
187	125.0106942
188	124.5936783
189	124.2203922
190	123.8445081
191	123.4514177
192	123.0855464
193	122.9135137
194	122.5152018
195	122.1433548
196	121.7789799
197	121.380331
198	121.0182742
199	120.6383432
200	120.4355877
201	120.0729974
202	119.8948289
203	119.5494119
204	119.1987084
205	119.0600603
206	118.7014202
207	118.3738321
208	118.0542679
209	117.7136359
210	117.3895641
211	117.0578705
212	116.7381357
213	116.3934449
214	116.0354454
215	115.8767664
216	115.5630138
217	115.24242
218	114.9451538
219	114.6462851
220	114.3237242
221	114.0105875
222	113.7139019
223	113.5753145
224	113.4544193
225	113.3236234
226	113.0549586
227	112.9289677
228	112.6251451
229	112.4921673
230	112.2018068
231	112.0525153
232	111.7485424
233	111.6196843
234	111.3352066
235	111.0862185
236	110.7894846
237	110.4974091
238	110.3761394
239	110.1145929
240	109.977042
241	109.8622326
242	109.5828111
243	109.3328124
244	109.0811883
245	108.802451
246	108.683734
247	108.4270529
248	108.3144997
249	108.0640274
250	107.8351594
251	107.5966864
252	107.3600109
253	107.113027
254	106.8624949
255	106.6301519
256	106.5520662
257	106.4288608
258	106.1783527
259	106.0482075
260	105.787432
261	105.5553242
262	105.3281922
263	105.1001377
264	104.8563827
265	104.755067
266	104.5396969
267	104.3181521
268	104.0877137
269	103.887611
270	103.6593632
271	103.4621874
272	103.2527243
273	103.1612473
274	103.0767854
275	102.8841442
276	102.6714031
277	102.5810826
278	102.3884552
279	102.1907151
280	101.9973281
281	101.8044626
282	101.7161329
283	101.5139162
284	101.4222806
285	101.3519028
286	101.1757752
287	100.9910917
288	100.8293627
289	100.6569157
290	100.472073
291	100.3945078
292	100.2212255
293	100.0384471
294	99.97137657
295	99.83035609
296	99.6290012
297	99.46616122
298	99.38657135
299	99.21351984
300	99.13282442
301	99.06325166
302	98.90925532
303	98.73775236
304	98.58059658
305	98.39635678
306	98.32493346
307	98.24212157
308	98.05935561
309	97.90803125
310	97.74813207
311	97.59030121
312	97.4403632
313	97.35322376
314	97.1979601
315	97.06579028
316	96.91648074
317	96.74555775
318	96.60323823
319	96.43578627
320	96.27099083
321	96.11477528
322	95.94634838
323	95.77336408
324	95.72125924
325	95.55792934
326	95.48836195
327	95.41603003
328	95.26130866
329	95.13655792
330	94.9685036
331	94.89293467
332	94.83374663
333	94.67991083
334	94.54782389
335	94.43024677
336	94.30130034
337	94.17882729
338	94.03350908
339	93.92397018
340	93.79970933
341	93.67878381
342	93.56864535
343	93.51401576
344	93.39566272
345	93.33653728
346	93.20859932
347	93.08401756
348	92.97159385
349	92.84095157
350	92.74900193
351	92.61895207
352	92.50097282
353	92.37955421
354	92.2710518
355	92.13247556
356	92.0747392
357	91.9548619
358	91.82131692
359	91.72608111
360	91.6041236
361	91.47302134
362	91.42463824
363	91.30277421
364	91.2088076
365	91.15810917
366	91.03147377
367	90.92270271
368	90.88554228
369	90.82572491
370	90.67481807
371	90.63504637
372	90.52340703
373	90.49124495
374	90.38784758
375	90.29329894
376	90.25585919
377	90.20673739
378	90.10108402
379	90.00166136
380	89.91309882
381	89.81679672
382	89.70823403
383	89.6096151
384	89.50113352
385	89.40274109
386	89.28187961
387	89.24678901
388	89.15535568
389	89.0692901
390	88.95480424
391	88.85080672
392	88.75793833
393	88.65841696
394	88.5690692
395	88.45158076
396	88.37322567
397	88.27326532
398	88.18078101
399	88.07640284
400	87.97915426
401	87.89583625
402	87.84516153
403	87.81050779
404	87.75027001
405	87.67757945
406	87.58874908
407	87.49021963
408	87.41530917
409	87.33730838
410	87.26610535
411	87.18558772
412	87.08898615
413	87.05450064
414	87.02717862
415	86.94920744
416	86.8533762
417	86.7865274
418	86.71810055
419	86.65736927
420	86.57674091
421	86.48471726
422	86.40933831
423	86.33406219
424	86.25666704
425	86.19241703
426	86.15731469
427	86.13184026
428	86.06043107
429	85.98935144
430	85.9263942
431	85.85967604
432	85.78730546
433	85.71465753
434	85.63783486
435	85.5586553
436	85.47266364
437	85.40791811
438	85.33367566
439	85.26728463
440	85.2093104
441	85.11900177
442	85.07211443
443	84.9992581
444	84.92760686
445	84.84715974
446	84.7729886
447	84.70442084
448	84.64891031
449	84.60530226
450	84.53340333
451	84.4613158
452	84.41742558
453	84.39561642
454	84.32807099
455	84.24882359
456	84.17890635
457	84.09311464
458	83.9982281
459	83.93996454
460	83.87848328
461	83.77876463
462	83.71644645
463	83.63281066
464	83.56033982
465	83.46113849
466	83.41765662
467	83.33532415
468	83.2721722
469	83.20599411
470	83.13956542
471	83.10561238
472	83.05294422
473	82.99256577
474	82.92965644
475	82.87536868
476	82.82571059
477	82.79006717
478	82.74461424
479	82.69197029
480	82.64218345
481	82.58221889
482	82.5149698
483	82.46133944
484	82.39746546
485	82.3530731
486	82.28048067
487	82.23254203
488	82.20655699
489	82.18650739
490	82.14122925
491	82.12107842
492	82.0751837
493	82.01160127
494	81.95582931
495	81.8880648
496	81.82955983
497	81.77012253
498	81.71045314
499	81.67254912
500	81.61525197
501	81.60100964
502	81.55464212
503	81.52155108
504	81.45106242
505	81.40372332
506	81.32554159
507	81.27295646
508	81.22875067
509	81.21511544
510	81.16513817
511	81.15434259
512	81.11967292
513	81.06082841
514	81.01746372
515	80.9955053
516	80.94156616
517	80.91679997
518	80.88042085
519	80.83514425
520	80.80298451
521	80.74171963
522	80.69336182
523	80.62765978
524	80.58826779
525	80.55731942
526	80.50562085
527	80.44800884
528	80.39975771
529	80.37723458
530	80.34168912
531	80.29728563
532	80.28768646
533	80.24348782
534	80.21604775
535	80.16844948
536	80.12138318
537	80.07676662
538	80.05805075
539	80.02273619
540	79.99908915
541	79.95468098
542	79.89199922
543	79.85342014
544	79.82699412
545	79.77709779
546	79.72888153
547	79.6940989
548	79.67286145
549	79.64274668
550	79.59351941
551	79.55561944
552	79.53044168
553	79.500896
554	79.4853992
555	79.46433637
556	79.46182101
557	79.39359199
558	79.36533963
559	79.33499231
560	79.2976051
561	79.26806389
562	79.24755513
563	79.17028054
564	79.1340359
565	79.11040314
566	79.07932898
567	79.03168633
568	78.99860363
569	78.95520405
570	78.9298448
571	78.90049793
572	78.84284242
573	78.82342689
574	78.77857191
575	78.74161753
576	78.71217046
577	78.67878842
578	78.62781326
579	78.59240244
580	78.56608589
581	78.53706897
582	78.49499111
583	78.45354388
584	78.42978717
585	78.4084775
586	78.38184753
587	78.34422149
588	78.29793874
589	78.26673012
590	78.25468496
591	78.24547177
592	78.21341845
593	78.20756693
594	78.16755984
595	78.14242373
596	78.10690182
597	78.0620481
598	78.02450653
599	77.99856551
600	77.9862214
601	77.9364292
602	77.90664173
603	77.88301587
604	77.83809271
605	77.80813135
606	77.78171508
607	77.75520785
608	77.73098847
609	77.70352904
610	77.67833908
611	77.6544204
612	77.61405334
613	77.58772882
614	77.57016891
615	77.54905421
616	77.53173772
617	77.51897987
618	77.5047328
619	77.48529384
620	77.47875981
621	77.46397812
622	77.42320043
623	77.41820748
624	77.41143315
625	77.4023615
626	77.38482701
627	77.35479977
628	77.3353057
629	77.3133944
630	77.29284
631	77.27325544
632	77.25249228
633	77.24103243
634	77.23216933
635	77.22244648
636	77.20889046
637	77.17628932
638	77.17075184
639	77.13439697
640	77.12462915
641	77.11072349
642	77.08491823
643	77.05261775
644	77.04849854
645	77.02833995
646	77.02286495
647	76.99621362
648	76.96936471
649	76.94422253
650	76.91107537
651	76.90631267
652	76.86706333
653	76.85340692
654	76.83352541
655	76.79718416
656	76.77386619
657	76.74647218
658	76.73415688
659	76.7060301
660	76.68591738
661	76.65880349
662	76.61325503
663	76.61237904
664	76.58093216
665	76.56347534
666	76.56245081
667	76.51105657
668	76.49601744
669	76.4596545
670	76.44418405
671	76.41467219
672	76.38689554
673	76.3771448
674	76.36841302
675	76.36033159
676	76.34900519
677	76.33910104
678	76.3296954
679	76.31934626
680	76.29957182
681	76.29643471
682	76.26998828
683	76.24887984
684	76.24544421
685	76.20605509
686	76.18738766
687	76.16387369
688	76.1412464
689	76.12149388
690	76.09165366
691	76.07675744
692	76.07189506
693	76.02504347
694	75.99103588
695	75.96083315
696	75.94790349
697	75.94539778
